IOBS,b5_1,b5_2,b5_3,b5_4,b5_5,b5_6,b5_7,b5_8,b5_9,b5_10,b5_11
410463,7,8,7,7,7,7,7,9,,8,8
410464,8,9,8,8,7,7,7,7,8,4,7
410465,6,6,10,10,6,10,7,,4,10,
410466,10,,10,10,10,,,,,,10
410467,4,6,10,10,4,4,4,5,,6,2
410468,5,6,6,5,5,5,5,6,,,6
410469,8,7,8,6,7,,8,8,,,7
410470,4,4,4,2,4,4,3,,,,2
410471,7,5,8,8,9,8,9,,,,6
410472,,10,,,,,,9,,,
410473,6,7,5,6,7,8,9,,6,5,6
410475,6,10,5,3,1,4,6,6,6,5,4
410476,7,9,4,6,7,3,7,1,2,3,4
410477,8,6,7,,9,8,5,8,,,8
410478,,,7,8,8,,8,,,,
410479,2,2,2,3,3,3,1,5,1,2,2
410480,,8,7,7,8,7,7,7,,,
410481,4,8,7,8,9,8,5,,7,9,7
410482,6,6,7,6,8,7,7,7,,5,5
410483,10,10,10,10,10,10,10,10,10,10,10
410485,5,10,1,8,6,5,6,,,,5
410486,7,6,8,6,9,8,9,8,,4,
410487,,9,,8,,7,6,7,,,9
410488,9,7,8,,,10,7,,,,
410490,10,10,10,10,10,10,10,10,,,5
410492,8,8,7,8,7,5,8,5,,,6
410493,10,10,,6,,,10,,,,
410494,9,10,9,,,,,10,,,
410498,7,8,8,8,7,8,8,7,,,
410500,8,9,9,7,8,10,8,,8,,
410501,,10,9,10,9,10,10,,,,10
410502,,9,,7,8,,9,,7,,7
410503,,10,10,,,,,,,,
410504,6,8,5,,8,7,7,,,,
410505,,8,9,8,,9,,9,,,
410506,,3,2,2,,,,,,7,
410507,,8,7,8,9,,8,8,,,8
410508,10,10,10,10,9,9,10,10,,,10
410509,1,3,,4,3,3,3,,,3,10
410510,10,8,10,7,9,8,8,,8,9,10
410511,9,8,7,6,8,7,9,8,7,7,6
410513,9,10,10,9,8,5,10,8,4,,
410514,10,10,10,10,9,9,9,10,,8,10
410515,7,8,8,9,6,8,7,,,7,6
410516,6,9,6,6,8,,4,10,,,4
410517,7,10,10,10,10,8,8,10,7,8,7
410518,10,10,,,10,,8,,,,
410519,10,8,,,10,,,9,,,
410520,,10,8,4,9,,8,,,,
410521,9,10,9,9,9,6,9,9,,,7
410522,9,10,8,9,9,,9,10,,,10
410523,8,,8,8,10,9,10,8,,,
410524,,6,6,6,9,6,5,6,,,4
410525,10,10,10,10,10,10,10,,,10,
410526,8,9,10,8,8,8,8,9,,,7
410528,6,7,10,9,6,8,8,,10,8,6
410530,,10,5,,6,7,3,,,3,
410531,3,6,4,5,5,4,4,5,,,
410532,10,10,10,9,10,10,10,10,,10,10
410533,10,10,10,,1,,1,,,,
410534,,6,5,8,,,,,,8,
410535,7,8,7,7,7,,,8,,,
410536,8,9,8,7,7,8,7,,,,7
410538,,,,6,10,5,,,,,
410540,8,7,,,6,10,7,,,8,5
410542,8,10,10,8,8,8,8,,,,
410543,6,1,6,2,4,2,1,2,,,2
410544,10,10,9,10,10,9,10,10,,9,10
410545,5,8,4,5,9,7,5,8,3,5,3
410546,8,8,8,8,8,,8,8,,,8
410547,8,8,9,8,7,8,7,,,,7
410548,,,,2,10,,,,,,1
410549,10,9,8,8,8,8,8,9,,,8
410550,3,10,10,10,8,1,1,7,,,7
410551,10,10,10,10,9,10,10,10,,10,10
410552,6,6,6,8,4,6,4,10,,,8
410555,6,4,5,4,1,6,6,10,,,4
410556,7,9,7,8,7,7,9,9,,,5
410557,8,7,8,8,7,7,7,6,,7,7
410558,10,10,10,10,7,6,10,10,,10,5
410559,10,7,,7,8,,10,,,,7
410560,8,10,10,8,9,8,7,,,,7
410561,,8,,,9,,8,,,,
410562,7,10,6,8,10,9,8,,,7,9
410563,8,4,7,5,9,6,8,,,,5
410564,5,8,10,9,7,,9,,,4,8
410565,10,8,10,10,10,10,10,10,,,7
410566,2,8,,4,5,,4,6,4,,6
410567,10,5,10,10,10,10,10,,10,10,10
410568,10,10,10,10,10,10,10,10,9,10,10
410569,8,,8,,10,,,10,,,7
410570,,,10,,10,,10,,,,10
410571,8,7,8,4,7,9,7,8,,,
410572,8,9,9,9,9,9,9,9,,,9
410573,9,9,9,10,10,7,10,9,,,
410574,,,,6,8,,6,7,,,7
410575,7,6,5,6,7,6,7,5,,,
410577,7,10,10,8,9,7,5,9,,,9
410578,1,,10,10,10,,1,,,,1
410579,2,6,5,6,4,3,,6,,,
410580,1,10,2,2,2,,,10,,,1
410582,6,10,10,5,8,8,6,5,,10,10
410584,10,5,10,10,10,10,10,6,,5,6
410585,,7,5,5,5,,7,5,,,
410586,9,10,8,7,8,8,10,,,7,9
410587,,,4,,,,,5,,,
410588,4,10,8,8,8,4,8,9,,,8
410589,10,10,10,10,10,2,10,,2,,9
410590,,,9,,9,,,,,,
410591,8,10,8,5,8,9,9,10,,,
410592,,7,7,7,7,8,8,9,,,
410593,10,10,10,10,10,10,10,10,8,10,10
410594,10,8,10,7,10,10,10,10,10,10,9
410595,9,9,9,8,8,6,9,7,,7,7
410596,9,10,10,10,10,,7,10,,10,7
410597,7,8,7,7,7,8,7,,,7,6
410598,9,9,9,10,9,9,8,10,9,9,9
410599,,9,6,9,9,8,,,,,
410600,10,1,10,10,1,,3,,,,1
410601,,9,9,9,9,9,9,9,,,9
410602,5,5,5,5,5,7,5,5,5,5,5
410603,9,7,5,7,6,9,9,9,9,10,8
410604,,10,10,9,9,,,,,,
410605,8,8,7,8,8,8,6,,4,3,8
